股票代號,股票名稱,買進日期,賣出日期,買進價格,賣出價格,個人漲跌幅(%),同期大盤漲跌幅(%),最大虧損MAE(%),RSI_14,乖離率20MA(%),外資買賣超(股),投信買賣超(股),散戶融資增減(張),營收年增率(%)
6198,瑞築,2007-06-01,2007-06-06,,,-0.04,0.79,0.0,83.48,41.71,0.0,0.0,0.0,-11.0
5201,凱衛,2007-06-14,2007-06-21,,,-7.77,4.95,-7.45,82.78,29.4,0.0,0.0,0.0,12.0
8266,中日新,2007-06-20,2007-06-23,,,0.97,0.65,-6.65,89.83,39.35,0.0,0.0,0.0,86.0
5302,太欣,2007-06-21,2007-06-25,,,19.32,0.99,0.0,86.88,33.46,0.0,0.0,0.0,89.0
4129,聯合,2007-06-27,2007-07-02,,,1.32,1.11,-2.86,98.06,43.71,0.0,0.0,0.0,60.0
4114,健喬,2007-06-29,2007-07-04,,,-5.64,2.28,-13.59,93.04,50.33,0.0,0.0,0.0,29.0
4905,台聯電,2007-06-29,2007-07-04,,,0.23,2.28,-3.59,98.95,36.199999999999996,0.0,0.0,0.0,-27.0
8049,晶采,2007-07-03,2007-07-06,,,11.02,2.24,0.0,79.46,25.3,0.0,0.0,0.0,-27.0
8936,國統,2007-07-09,2007-07-12,,,0.83,0.21,-1.89,71.33,4.07,0.0,0.0,0.0,-19.0
4102,永日,2007-07-11,2007-07-16,,,30.36,1.51,0.0,89.88,38.17,0.0,0.0,0.0,-2.0
4702,中美實,2007-07-11,2007-07-16,,,21.5,1.51,-0.16,82.34,33.839999999999996,0.0,0.0,0.0,17.0
5464,霖宏,2007-07-11,2007-07-16,,,7.36,1.51,0.0,93.38,36.13,0.0,0.0,0.0,25.0
3064,泰偉,2007-07-18,2007-07-23,,,-6.38,1.6,-12.05,95.22,34.36,0.0,0.0,0.0,51.0
4123,晟德,2007-07-18,2007-07-23,,,19.81,1.6,0.0,75.14,20.979999999999997,0.0,0.0,0.0,0.0
5345,馥鴻,2007-07-20,2007-07-25,,,-0.39,1.78,-0.33,79.25,30.19,0.0,0.0,0.0,-4.0
5395,圓方,2007-07-24,2007-07-27,,,-7.75,-5.54,-11.95,63.74,5.7299999999999995,0.0,0.0,0.0,1668.0
6287,元隆,2007-07-24,2007-07-27,,,-2.32,-5.54,0.0,73.89,23.330000000000002,0.0,0.0,0.0,34.0
3066,李洲,2007-07-30,2007-08-02,,,-6.93,-1.08,-16.26,80.31,29.94,0.0,0.0,0.0,-21.0
5392,能率,2007-07-30,2007-08-02,,,8.08,-1.08,-3.02,75.58,27.77,0.0,0.0,0.0,81.0
8936,國統,2007-07-30,2007-08-02,,,2.56,-1.08,0.0,63.42,7.66,0.0,0.0,0.0,-57.0
6231,系微,2007-07-31,2007-08-03,,,2.93,-2.26,-0.88,89.2,41.6,0.0,0.0,0.0,-11.0
6021,美好證,2007-08-09,2007-08-14,,,-20.16,-2.78,-17.5,57.46,1.68,0.0,0.0,0.0,103.0
4131,浩泰,2007-08-14,2007-08-17,,,-20.04,-9.12,-20.74,31.67,-7.55,0.0,0.0,0.0,146.0
4503,金雨,2007-08-15,2007-08-17,,,-3.46,-5.78,-8.12,95.15,46.64,0.0,0.0,0.0,-47.0
6138,茂達,2007-09-03,2007-09-06,,,-2.88,0.45,-3.38,50.38,-3.06,0.0,0.0,0.0,106.0
5384,捷元,2007-09-10,2007-09-13,,,-0.09,-0.1,-5.87,77.37,21.740000000000002,0.0,0.0,0.0,-14.0
4114,健喬,2007-09-19,2007-09-21,,,-5.72,2.03,-6.67,78.21,19.48,0.0,0.0,0.0,36.0
6233,旺玖,2007-09-21,2007-09-27,,,18.81,3.39,0.0,35.87,-11.72,0.0,0.0,0.0,7.0
6022,大眾證,2007-10-04,2007-10-09,,,5.32,0.13,0.0,59.91,5.12,0.0,0.0,0.0,-149.0
3362,先進光,2007-10-11,2007-10-16,,,4.47,-1.08,-2.87,73.06,15.920000000000002,0.0,0.0,0.0,6.0
6231,系微,2007-10-24,2007-10-29,,,-12.8,3.89,-11.79,81.55,28.04,0.0,0.0,0.0,12.0
6229,研通,2007-11-26,2007-11-27,,,-7.21,-1.79,-6.88,69.03,11.98,0.0,0.0,0.0,15.0
5302,太欣,2008-03-04,2008-03-07,,,6.55,0.72,0.0,87.16,47.82,0.0,0.0,0.0,9.0
6210,慶生,2008-03-31,2008-04-03,,,11.09,0.28,-2.64,96.81,39.24,0.0,0.0,0.0,56.0
6203,海韻電,2008-05-19,2008-05-22,,,17.98,-3.09,-0.05,0.0,-44.66,0.0,0.0,0.0,-9.0
6169,昱泉,2009-03-12,2009-03-17,,,4.88,6.03,0.0,52.51,-1.39,0.0,0.0,0.0,66.0
5523,豐謙,2009-03-27,2009-04-01,,,13.29,-1.41,-3.36,88.0,49.63,0.0,0.0,0.0,31.0
3546,宇峻,2009-03-31,2009-04-03,,,4.59,6.12,0.0,72.66,19.42,0.0,0.0,0.0,131.0
4129,聯合,2009-04-07,2009-04-10,,,17.02,3.68,0.0,94.49,40.300000000000004,0.0,0.0,0.0,-12.0
6509,聚和,2009-04-08,2009-04-13,,,2.96,7.61,-4.75,84.88,39.1,0.0,0.0,0.0,4.0
3260,威剛,2009-04-10,2009-04-15,,,1.92,1.61,-2.37,63.74,8.82,0.0,0.0,0.0,0.0
8299,群聯,2009-04-16,2009-04-20,,,-8.47,-3.59,-9.5,74.78,29.459999999999997,0.0,0.0,0.0,0.0
4102,永日,2009-05-04,2009-05-05,,,4.86,0.78,0.0,61.4,3.1300000000000003,0.0,0.0,0.0,90.0
8261,富鼎,2009-05-07,2009-05-12,,,-0.69,-2.13,-5.15,64.54,13.71,0.0,0.0,0.0,-11.0
3526,凡甲,2009-05-12,2009-05-15,,,1.88,0.88,-3.69,77.46,13.29,0.0,0.0,0.0,31.0
5491,連展,2009-05-13,2009-05-18,,,2.61,1.43,-0.05,69.47,13.26,0.0,0.0,0.0,14.0
4408,聯明,2009-05-25,2009-05-26,,,13.99,-0.76,0.0,79.64,24.9,,,0.0,-96.0
8042,金山電,2009-05-22,2009-05-27,,,4.81,2.27,0.0,79.33,14.12,0.0,0.0,0.0,115.0
8933,愛地雅,2009-05-22,2009-05-27,,,0.33,2.27,-2.22,72.04,8.76,0.0,0.0,0.0,120.0
4408,聯明,2009-05-27,2009-06-01,,,-0.39,0.92,-8.71,95.86,38.42,,,0.0,-96.0
5512,力麒,2009-05-25,2009-06-01,,,0.21,3.26,-8.58,83.65,36.33,0.0,0.0,0.0,-15.0
3083,網龍,2009-05-26,2009-06-02,,,-0.79,4.03,-7.32,90.03,46.089999999999996,0.0,0.0,0.0,61.0
5523,豐謙,2009-05-26,2009-06-02,,,-1.56,4.03,-5.89,52.68,2.67,0.0,0.0,0.0,-7.0
4415,台原藥,2009-06-02,2009-06-05,,,26.88,-2.62,0.0,79.11,30.930000000000003,0.0,0.0,0.0,114.0
6231,系微,2009-06-04,2009-06-08,,,20.04,-2.32,0.0,62.66,8.1,0.0,0.0,0.0,52.0
8049,晶采,2009-06-05,2009-06-09,,,4.22,-5.21,-4.21,76.84,27.36,0.0,0.0,0.0,-45.0
5480,統盟,2009-06-08,2009-06-10,,,-13.02,-2.5,-13.53,78.11,26.240000000000002,0.0,0.0,0.0,57.0
