日期(執行日),股票代號,股票名稱,動作,買進價格,賣出價格,買進股數(股),賣出股數(股),個人漲跌幅(%),最大虧損MAE(%),異動金額(元),當下總資產估算(元)
2007-06-01,6198,瑞築,🛒 新進買入,28.4,,8802,0,-0.04,0.0,250000,1000000
2007-06-06,6198,瑞築,🚫 清倉賣出,,28.5,0,8855,-0.04,0.0,252389,1009559
2007-06-14,5201,凱衛,🛒 新進買入,22.95,,10892,0,-7.77,-7.45,249972,999889
2007-06-20,8266,中日新,🛒 新進買入,43.9,,5693,0,0.97,-6.65,249942,999770
2007-06-21,5201,凱衛,🚫 清倉賣出,,21.25,0,11557,-7.77,-7.45,245587,982351
2007-06-21,5302,太欣,🛒 新進買入,56.6,,4339,0,19.32,0.0,245587,982351
2007-06-23,8266,中日新,🚫 清倉賣出,,44.5,0,5593,0.97,-6.65,248927,995709
2007-06-25,5302,太欣,🚫 清倉賣出,,67.8,0,3719,19.32,0.0,252183,1008732
2007-06-27,4129,聯合,🛒 新進買入,63.9,,4035,0,1.32,-2.86,257869,1031476
2007-06-29,4114,健喬,🛒 新進買入,38.0,,6854,0,-5.64,-13.59,260460,1041841
2007-06-29,4905,台聯電,🛒 新進買入,23.95,,10875,0,0.23,-3.59,260460,1041841
2007-07-02,4129,聯合,🚫 清倉賣出,,65.0,0,4019,1.32,-2.86,261267,1045068
2007-07-03,8049,晶采,🛒 新進買入,31.4,,8063,0,11.02,0.0,253202,1012810
2007-07-04,4114,健喬,🚫 清倉賣出,,36.0,0,6882,-5.64,-13.59,247775,991102
2007-07-04,4905,台聯電,🚫 清倉賣出,,24.1,0,10281,0.23,-3.59,247775,991102
2007-07-06,8049,晶采,🚫 清倉賣出,,35.0,0,7376,11.02,0.0,258160,1032640
2007-07-09,8936,國統,🛒 新進買入,32.6,,8011,0,0.83,-1.89,261166,1044665
2007-07-11,4102,永日,🛒 新進買入,29.8,,8771,0,30.36,0.0,261389,1045559
2007-07-11,4702,中美實,🛒 新進買入,9.1,,28724,0,21.5,-0.16,261389,1045559
2007-07-11,5464,霖宏,🛒 新進買入,50.1,,5217,0,7.36,0.0,261389,1045559
2007-07-12,8936,國統,🚫 清倉賣出,,33.0,0,7954,0.83,-1.89,262497,1049988
2007-07-16,4102,永日,🚫 清倉賣出,,39.0,0,7272,30.36,0.0,283622,1134489
2007-07-16,4702,中美實,🚫 清倉賣出,,11.1,0,25551,21.5,-0.16,283622,1134489
2007-07-16,5464,霖宏,🚫 清倉賣出,,54.0,0,5252,7.36,0.0,283622,1134489
2007-07-18,3064,泰偉,🛒 新進買入,308.0,,982,0,-6.38,-12.05,302553,1210213
2007-07-18,4123,晟德,🛒 新進買入,69.0,,4384,0,19.81,0.0,302553,1210213
2007-07-20,5345,馥鴻,🛒 新進買入,7.0,,44135,0,-0.39,-0.33,308946,1235784
2007-07-23,3064,泰偉,🚫 清倉賣出,,289.5,0,1105,-6.38,-12.05,319921,1279684
2007-07-23,4123,晟德,🚫 清倉賣出,,83.0,0,3854,19.81,0.0,319921,1279684
2007-07-24,5395,圓方,🛒 新進買入,42.0,,7413,0,-7.75,-11.95,311376,1245507
2007-07-24,6287,元隆,🛒 新進買入,18.15,,17155,0,-2.32,0.0,311376,1245507
2007-07-25,5345,馥鴻,🚫 清倉賣出,,7.0,0,45409,-0.39,-0.33,317865,1271461
2007-07-27,5395,圓方,🚫 清倉賣出,,38.9,0,8071,-7.75,-11.95,313979,1255917
2007-07-27,6287,元隆,🚫 清倉賣出,,17.8,0,17639,-2.32,0.0,313979,1255917
2007-07-30,3066,李洲,🛒 新進買入,51.8,,6012,0,-6.93,-16.26,311461,1245846
2007-07-30,5392,能率,🛒 新進買入,235.0,,1325,0,8.08,-3.02,311461,1245846
2007-07-30,8936,國統,🛒 新進買入,37.1,,8395,0,2.56,0.0,311461,1245846
2007-07-31,6231,系微,🛒 新進買入,120.0,,2549,0,2.93,-0.88,305951,1223804
2007-08-02,3066,李洲,🚫 清倉賣出,,48.4,0,6300,-6.93,-16.26,304967,1219868
2007-08-02,5392,能率,🚫 清倉賣出,,255.0,0,1195,8.08,-3.02,304967,1219868
2007-08-02,8936,國統,🚫 清倉賣出,,38.2,0,7983,2.56,0.0,304967,1219868
